1
2
3
4
5
6
7
8
9
10
11
12
touch
1
event at 1599638592.089347, code 57, type 03, val 22
event at 1599638592.408249, code 00, type 00, val 00
event at 1599638592.425041, code 53, type 03, val 466
event at 1599638592.425041, code 54, type 03, val 400
event at 1599638592.425041, code 00, type 03, val 466
event at 1599638592.425041, code 01, type 03, val 400
event at 1599638592.425041, code 00, type 00, val 00
event at 1599638592.441832, code 54, type 03, val 402
event at 1599638592.441832, code 01, type 03, val 402
event at 1599638592.441832, code 00, type 00, val 00
event at 1599638592.458613, code 53, type 03, val 465
event at 1599638592.458613, code 54, type 03, val 403
event at 1599638592.458613, code 00, type 03, val 465
event at 1599638592.458613, code 01, type 03, val 403
event at 1599638592.458613, code 00, type 00, val 00
event at 1599638592.492164, code 53, type 03, val 461
event at 1599638592.492164, code 54, type 03, val 406
event at 1599638592.492164, code 00, type 03, val 461
event at 1599638592.492164, code 01, type 03, val 406
event at 1599638592.492164, code 00, type 00, val 00
event at 1599638592.525686, code 57, type 03, val -1
event at 1599638592.525686, code 330, type 01, val 00
event at 1599638592.525686, code 00, type 00, val 00
event at 1599638592.575950, code 57, type 03, val 23
event at 1599638592.575950, code 53, type 03, val 435
event at 1599638592.575950, code 54, type 03, val 347
event at 1599638592.575950, code 330, type 01, val 01
event at 1599638592.575950, code 00, type 03, val 435
event at 1599638592.575950, code 01, type 03, val 347
event at 1599638592.575950, code 00, type 00, val 00
event at 1599638592.642934, code 54, type 03, val 345
event at 1599638592.642934, code 01, type 03, val 345
event at 1599638592.642934, code 00, type 00, val 00
event at 1599638592.659713, code 53, type 03, val 434
event at 1599638592.659713, code 54, type 03, val 344
event at 1599638592.659713, code 00, type 03, val 434
event at 1599638592.659713, code 01, type 03, val 344
event at 1599638592.659713, code 00, type 00, val 00
event at 1599638592.676528, code 53, type 03, val 431
event at 1599638592.676528, code 54, type 03, val 338
event at 1599638592.676528, code 00, type 03, val 431
event at 1599638592.676528, code 01, type 03, val 338
event at 1599638592.676528, code 00, type 00, val 00
event at 1599638592.693324, code 53, type 03, val 429
event at 1599638592.693324, code 54, type 03, val 335
event at 1599638592.693324, code 00, type 03, val 429
event at 1599638592.693324, code 01, type 03, val 335
event at 1599638592.693324, code 00, type 00, val 00
event at 1599638592.710108, code 53, type 03, val 426
event at 1599638592.710108, code 54, type 03, val 325
event at 1599638592.710108, code 00, type 03, val 426
event at 1599638592.710108, code 01, type 03, val 325
event at 1599638592.710108, code 00, type 00, val 00
event at 1599638592.726898, code 53, type 03, val 424
event at 1599638592.726898, code 54, type 03, val 319
event at 1599638592.726898, code 00, type 03, val 424
event at 1599638592.726898, code 01, type 03, val 319
touch
1
event at 1599638592.726898, code 00, type 00, val 00
event at 1599638592.743692, code 53, type 03, val 420
event at 1599638592.743692, code 54, type 03, val 309
event at 1599638592.743692, code 00, type 03, val 420
event at 1599638592.743692, code 01, type 03, val 309
event at 1599638592.743692, code 00, type 00, val 00
event at 1599638592.760476, code 53, type 03, val 417
event at 1599638592.760476, code 54, type 03, val 303
event at 1599638592.760476, code 00, type 03, val 417
event at 1599638592.760476, code 01, type 03, val 303
event at 1599638592.760476, code 00, type 00, val 00
event at 1599638592.777293, code 53, type 03, val 414
event at 1599638592.777293, code 54, type 03, val 299
event at 1599638592.777293, code 00, type 03, val 414
event at 1599638592.777293, code 01, type 03, val 299
event at 1599638592.777293, code 00, type 00, val 00
event at 1599638592.827546, code 53, type 03, val 410
event at 1599638592.827546, code 54, type 03, val 295
event at 1599638592.827546, code 00, type 03, val 410
event at 1599638592.827546, code 01, type 03, val 295
event at 1599638592.827546, code 00, type 00, val 00
event at 1599638592.844335, code 57, type 03, val -1
event at 1599638592.844335, code 330, type 01, val 00
event at 1599638592.844335, code 00, type 00, val 001
2
3
4
5
6
7
touch
1
event at 1599638605.593069, code 57, type 03, val 24
event at 1599638605.593069, code 53, type 03, val 740
event at 1599638605.593069, code 54, type 03, val 262
event at 1599638605.593069, code 330, type 01, val 01
event at 1599638605.593069, code 00, type 03, val 740
event at 1599638605.593069, code 01, type 03, val 262
event at 1599638605.593069, code 00, type 00, val 00
event at 1599638605.744005, code 57, type 03, val -1
event at 1599638605.744005, code 330, type 01, val 00
event at 1599638605.744005, code 00, type 00, val 00
2
3
touch
1
event at 1599638608.555969, code 57, type 03, val 25
event at 1599638608.555969, code 53, type 03, val 738
event at 1599638608.555969, code 54, type 03, val 249
event at 1599638608.555969, code 330, type 01, val 01
event at 1599638608.555969, code 00, type 03, val 738
event at 1599638608.555969, code 01, type 03, val 249
event at 1599638608.555969, code 00, type 00, val 00
event at 1599638608.673363, code 53, type 03, val 739
event at 1599638608.673363, code 54, type 03, val 248
event at 1599638608.673363, code 00, type 03, val 739
event at 1599638608.673363, code 01, type 03, val 248
event at 1599638608.673363, code 00, type 00, val 00
event at 1599638608.707040, code 57, type 03, val -1
event at 1599638608.707040, code 330, type 01, val 00
event at 1599638608.707040, code 00, type 00, val 00
event at 1599638609.410157, code 57, type 03, val 26
event at 1599638609.410157, code 53, type 03, val 36
event at 1599638609.410157, code 54, type 03, val 414
event at 1599638609.410157, code 330, type 01, val 01
event at 1599638609.410157, code 00, type 03, val 36
event at 1599638609.410157, code 01, type 03, val 414
event at 1599638609.410157, code 00, type 00, val 00
event at 1599638609.527537, code 53, type 03, val 38
event at 1599638609.527537, code 54, type 03, val 415
event at 1599638609.527537, code 00, type 03, val 38
event at 1599638609.527537, code 01, type 03, val 415
event at 1599638609.527537, code 00, type 00, val 00
event at 1599638609.544440, code 57, type 03, val -1
event at 1599638609.544440, code 330, type 01, val 00
event at 1599638609.544440, code 00, type 00, val 00
2
touch
1
event at 1599638610.264240, code 57, type 03, val 27
event at 1599638610.264240, code 53, type 03, val 475
event at 1599638610.264240, code 54, type 03, val 302
event at 1599638610.264240, code 330, type 01, val 01
event at 1599638610.264240, code 00, type 03, val 475
event at 1599638610.264240, code 01, type 03, val 302
event at 1599638610.264240, code 00, type 00, val 00
event at 1599638610.364900, code 53, type 03, val 476
event at 1599638610.364900, code 00, type 03, val 476
event at 1599638610.364900, code 00, type 00, val 00
event at 1599638610.381909, code 57, type 03, val -1
event at 1599638610.381909, code 330, type 01, val 00
event at 1599638610.381909, code 00, type 00, val 00
event at 1599638610.599784, code 57, type 03, val 28
event at 1599638610.599784, code 53, type 03, val 711
event at 1599638610.599784, code 54, type 03, val 389
event at 1599638610.599784, code 330, type 01, val 01
event at 1599638610.599784, code 00, type 03, val 711
event at 1599638610.599784, code 01, type 03, val 389
event at 1599638610.599784, code 00, type 00, val 00
event at 1599638610.700512, code 53, type 03, val 710
event at 1599638610.700512, code 00, type 03, val 710
event at 1599638610.700512, code 00, type 00, val 00
event at 1599638610.767697, code 53, type 03, val 709
event at 1599638610.767697, code 00, type 03, val 709
event at 1599638610.767697, code 00, type 00, val 00
event at 1599638610.784789, code 57, type 03, val -1
event at 1599638610.784789, code 330, type 01, val 00
event at 1599638610.784789, code 00, type 00, val 00
touch
1
event at 1599638611.571790, code 57, type 03, val 29
event at 1599638611.571790, code 53, type 03, val 62
event at 1599638611.571790, code 54, type 03, val 438
event at 1599638611.571790, code 330, type 01, val 01
event at 1599638611.571790, code 00, type 03, val 62
event at 1599638611.571790, code 01, type 03, val 438
event at 1599638611.571790, code 00, type 00, val 00
event at 1599638611.655826, code 53, type 03, val 63
event at 1599638611.655826, code 54, type 03, val 437
event at 1599638611.655826, code 00, type 03, val 63
event at 1599638611.655826, code 01, type 03, val 437
event at 1599638611.655826, code 00, type 00, val 00
event at 1599638611.706400, code 53, type 03, val 64
event at 1599638611.706400, code 54, type 03, val 436
event at 1599638611.706400, code 00, type 03, val 64
event at 1599638611.706400, code 01, type 03, val 436
event at 1599638611.706400, code 00, type 00, val 00
event at 1599638611.723352, code 57, type 03, val -1
event at 1599638611.723352, code 330, type 01, val 00
event at 1599638611.723352, code 00, type 00, val 00
event at 1599638612.259330, code 57, type 03, val 30
event at 1599638612.259330, code 53, type 03, val 517
event at 1599638612.259330, code 54, type 03, val 146
event at 1599638612.259330, code 330, type 01, val 01
event at 1599638612.259330, code 00, type 03, val 517
event at 1599638612.259330, code 01, type 03, val 146
event at 1599638612.259330, code 00, type 00, val 00
event at 1599638612.360074, code 54, type 03, val 152
event at 1599638612.360074, code 01, type 03, val 152
event at 1599638612.360074, code 00, type 00, val 00
event at 1599638612.393832, code 57, type 03, val -1
event at 1599638612.393832, code 330, type 01, val 00
event at 1599638612.393832, code 00, type 00, val 00
touch
1
event at 1599638612.628368, code 57, type 03, val 31
event at 1599638612.628368, code 53, type 03, val 715
event at 1599638612.628368, code 54, type 03, val 408
event at 1599638612.628368, code 330, type 01, val 01
event at 1599638612.628368, code 00, type 03, val 715
event at 1599638612.628368, code 01, type 03, val 408
event at 1599638612.628368, code 00, type 00, val 00
event at 1599638612.762722, code 53, type 03, val 714
event at 1599638612.762722, code 54, type 03, val 407
event at 1599638612.762722, code 00, type 03, val 714
event at 1599638612.762722, code 01, type 03, val 407
event at 1599638612.762722, code 00, type 00, val 00
event at 1599638612.779699, code 57, type 03, val -1
event at 1599638612.779699, code 330, type 01, val 00
event at 1599638612.779699, code 00, type 00, val 00
event at 1599638613.516583, code 57, type 03, val 32
event at 1599638613.516583, code 53, type 03, val 744
event at 1599638613.516583, code 54, type 03, val 277
event at 1599638613.516583, code 330, type 01, val 01
event at 1599638613.516583, code 00, type 03, val 744
event at 1599638613.516583, code 01, type 03, val 277
event at 1599638613.516583, code 00, type 00, val 00
event at 1599638613.600676, code 53, type 03, val 743
event at 1599638613.600676, code 00, type 03, val 743
event at 1599638613.600676, code 00, type 00, val 00
touch
1
event at 1599638613.634475, code 53, type 03, val 739
event at 1599638613.634475, code 54, type 03, val 276
event at 1599638613.634475, code 00, type 03, val 739
event at 1599638613.634475, code 01, type 03, val 276
event at 1599638613.634475, code 00, type 00, val 00
event at 1599638613.668235, code 57, type 03, val -1
event at 1599638613.668235, code 330, type 01, val 00
event at 1599638613.668235, code 00, type 00, val 00
2
3
touch
1
event at 1599638616.622366, code 57, type 03, val 33
event at 1599638616.622366, code 53, type 03, val 85
event at 1599638616.622366, code 54, type 03, val 417
event at 1599638616.622366, code 330, type 01, val 01
event at 1599638616.622366, code 00, type 03, val 85
event at 1599638616.622366, code 01, type 03, val 417
event at 1599638616.622366, code 00, type 00, val 00
event at 1599638616.739828, code 54, type 03, val 418
event at 1599638616.739828, code 01, type 03, val 418
event at 1599638616.739828, code 00, type 00, val 00
event at 1599638616.756786, code 57, type 03, val -1
event at 1599638616.756786, code 330, type 01, val 00
event at 1599638616.756786, code 00, type 00, val 00
event at 1599638617.359637, code 57, type 03, val 34
event at 1599638617.359637, code 53, type 03, val 464
event at 1599638617.359637, code 54, type 03, val 255
event at 1599638617.359637, code 330, type 01, val 01
2
3
4
5
6
7
8
9
10
11
touch
1
event at 1599638605.593069, code 57, type 03, val 24
event at 1599638605.593069, code 53, type 03, val 740
event at 1599638605.593069, code 54, type 03, val 262
event at 1599638605.593069, code 330, type 01, val 01
event at 1599638605.593069, code 00, type 03, val 740
event at 1599638605.593069, code 01, type 03, val 262
event at 1599638605.593069, code 00, type 00, val 00
event at 1599638605.744005, code 57, type 03, val -1
event at 1599638605.744005, code 330, type 01, val 00
event at 1599638605.744005, code 00, type 00, val 00
2
3
touch
1
event at 1599638608.555969, code 57, type 03, val 25
event at 1599638608.555969, code 53, type 03, val 738
event at 1599638608.555969, code 54, type 03, val 249
event at 1599638608.555969, code 330, type 01, val 01
event at 1599638608.555969, code 00, type 03, val 738
event at 1599638608.555969, code 01, type 03, val 249
event at 1599638608.555969, code 00, type 00, val 00
event at 1599638608.673363, code 53, type 03, val 739
event at 1599638608.673363, code 54, type 03, val 248
event at 1599638608.673363, code 00, type 03, val 739
event at 1599638608.673363, code 01, type 03, val 248
event at 1599638608.673363, code 00, type 00, val 00
event at 1599638608.707040, code 57, type 03, val -1
event at 1599638608.707040, code 330, type 01, val 00
event at 1599638608.707040, code 00, type 00, val 00
event at 1599638609.410157, code 57, type 03, val 26
event at 1599638609.410157, code 53, type 03, val 36
event at 1599638609.410157, code 54, type 03, val 414
event at 1599638609.410157, code 330, type 01, val 01
event at 1599638609.410157, code 00, type 03, val 36
event at 1599638609.410157, code 01, type 03, val 414
event at 1599638609.410157, code 00, type 00, val 00
event at 1599638609.527537, code 53, type 03, val 38
event at 1599638609.527537, code 54, type 03, val 415
event at 1599638609.527537, code 00, type 03, val 38
event at 1599638609.527537, code 01, type 03, val 415
event at 1599638609.527537, code 00, type 00, val 00
event at 1599638609.544440, code 57, type 03, val -1
event at 1599638609.544440, code 330, type 01, val 00
event at 1599638609.544440, code 00, type 00, val 00
2
touch
1
event at 1599638610.264240, code 57, type 03, val 27
event at 1599638610.264240, code 53, type 03, val 475
event at 1599638610.264240, code 54, type 03, val 302
event at 1599638610.264240, code 330, type 01, val 01
event at 1599638610.264240, code 00, type 03, val 475
event at 1599638610.264240, code 01, type 03, val 302
event at 1599638610.264240, code 00, type 00, val 00
event at 1599638610.364900, code 53, type 03, val 476
event at 1599638610.364900, code 00, type 03, val 476
event at 1599638610.364900, code 00, type 00, val 00
event at 1599638610.381909, code 57, type 03, val -1
event at 1599638610.381909, code 330, type 01, val 00
event at 1599638610.381909, code 00, type 00, val 00
event at 1599638610.599784, code 57, type 03, val 28
event at 1599638610.599784, code 53, type 03, val 711
event at 1599638610.599784, code 54, type 03, val 389
event at 1599638610.599784, code 330, type 01, val 01
event at 1599638610.599784, code 00, type 03, val 711
event at 1599638610.599784, code 01, type 03, val 389
event at 1599638610.599784, code 00, type 00, val 00
event at 1599638610.700512, code 53, type 03, val 710
event at 1599638610.700512, code 00, type 03, val 710
event at 1599638610.700512, code 00, type 00, val 00
event at 1599638610.767697, code 53, type 03, val 709
event at 1599638610.767697, code 00, type 03, val 709
event at 1599638610.767697, code 00, type 00, val 00
event at 1599638610.784789, code 57, type 03, val -1
event at 1599638610.784789, code 330, type 01, val 00
event at 1599638610.784789, code 00, type 00, val 00
touch
1
event at 1599638611.571790, code 57, type 03, val 29
event at 1599638611.571790, code 53, type 03, val 62
event at 1599638611.571790, code 54, type 03, val 438
event at 1599638611.571790, code 330, type 01, val 01
event at 1599638611.571790, code 00, type 03, val 62
event at 1599638611.571790, code 01, type 03, val 438
event at 1599638611.571790, code 00, type 00, val 00
event at 1599638611.655826, code 53, type 03, val 63
event at 1599638611.655826, code 54, type 03, val 437
event at 1599638611.655826, code 00, type 03, val 63
event at 1599638611.655826, code 01, type 03, val 437
event at 1599638611.655826, code 00, type 00, val 00
event at 1599638611.706400, code 53, type 03, val 64
event at 1599638611.706400, code 54, type 03, val 436
event at 1599638611.706400, code 00, type 03, val 64
event at 1599638611.706400, code 01, type 03, val 436
event at 1599638611.706400, code 00, type 00, val 00
event at 1599638611.723352, code 57, type 03, val -1
event at 1599638611.723352, code 330, type 01, val 00
event at 1599638611.723352, code 00, type 00, val 00
event at 1599638612.259330, code 57, type 03, val 30
event at 1599638612.259330, code 53, type 03, val 517
event at 1599638612.259330, code 54, type 03, val 146
event at 1599638612.259330, code 330, type 01, val 01
event at 1599638612.259330, code 00, type 03, val 517
event at 1599638612.259330, code 01, type 03, val 146
event at 1599638612.259330, code 00, type 00, val 00
event at 1599638612.360074, code 54, type 03, val 152
event at 1599638612.360074, code 01, type 03, val 152
event at 1599638612.360074, code 00, type 00, val 00
event at 1599638612.393832, code 57, type 03, val -1
event at 1599638612.393832, code 330, type 01, val 00
event at 1599638612.393832, code 00, type 00, val 00
touch
1
event at 1599638612.628368, code 57, type 03, val 31
event at 1599638612.628368, code 53, type 03, val 715
event at 1599638612.628368, code 54, type 03, val 408
event at 1599638612.628368, code 330, type 01, val 01
event at 1599638612.628368, code 00, type 03, val 715
event at 1599638612.628368, code 01, type 03, val 408
event at 1599638612.628368, code 00, type 00, val 00
event at 1599638612.762722, code 53, type 03, val 714
event at 1599638612.762722, code 54, type 03, val 407
event at 1599638612.762722, code 00, type 03, val 714
event at 1599638612.762722, code 01, type 03, val 407
event at 1599638612.762722, code 00, type 00, val 00
event at 1599638612.779699, code 57, type 03, val -1
event at 1599638612.779699, code 330, type 01, val 00
event at 1599638612.779699, code 00, type 00, val 00
event at 1599638613.516583, code 57, type 03, val 32
event at 1599638613.516583, code 53, type 03, val 744
event at 1599638613.516583, code 54, type 03, val 277
event at 1599638613.516583, code 330, type 01, val 01
event at 1599638613.516583, code 00, type 03, val 744
event at 1599638613.516583, code 01, type 03, val 277
event at 1599638613.516583, code 00, type 00, val 00
event at 1599638613.600676, code 53, type 03, val 743
event at 1599638613.600676, code 00, type 03, val 743
event at 1599638613.600676, code 00, type 00, val 00
touch
1
event at 1599638613.634475, code 53, type 03, val 739
event at 1599638613.634475, code 54, type 03, val 276
event at 1599638613.634475, code 00, type 03, val 739
event at 1599638613.634475, code 01, type 03, val 276
event at 1599638613.634475, code 00, type 00, val 00
event at 1599638613.668235, code 57, type 03, val -1
event at 1599638613.668235, code 330, type 01, val 00
event at 1599638613.668235, code 00, type 00, val 00
2
3
touch
1
event at 1599638616.622366, code 57, type 03, val 33
event at 1599638616.622366, code 53, type 03, val 85
event at 1599638616.622366, code 54, type 03, val 417
event at 1599638616.622366, code 330, type 01, val 01
event at 1599638616.622366, code 00, type 03, val 85
event at 1599638616.622366, code 01, type 03, val 417
event at 1599638616.622366, code 00, type 00, val 00
event at 1599638616.739828, code 54, type 03, val 418
event at 1599638616.739828, code 01, type 03, val 418
event at 1599638616.739828, code 00, type 00, val 00
event at 1599638616.756786, code 57, type 03, val -1
event at 1599638616.756786, code 330, type 01, val 00
event at 1599638616.756786, code 00, type 00, val 00
event at 1599638617.359637, code 57, type 03, val 34
event at 1599638617.359637, code 53, type 03, val 464
event at 1599638617.359637, code 54, type 03, val 255
event at 1599638617.359637, code 330, type 01, val 01
event at 1599638617.359637, code 00, type 03, val 464
event at 1599638617.359637, code 01, type 03, val 255
event at 1599638617.359637, code 00, type 00, val 00
event at 1599638617.477076, code 54, type 03, val 256
event at 1599638617.477076, code 01, type 03, val 256
event at 1599638617.477076, code 00, type 00, val 00
event at 1599638617.493977, code 57, type 03, val -1
event at 1599638617.493977, code 330, type 01, val 00
event at 1599638617.493977, code 00, type 00, val 00
touch
1
event at 1599638617.678243, code 57, type 03, val 35
event at 1599638617.678243, code 53, type 03, val 719
event at 1599638617.678243, code 54, type 03, val 394
event at 1599638617.678243, code 330, type 01, val 01
event at 1599638617.678243, code 00, type 03, val 719
event at 1599638617.678243, code 01, type 03, val 394
event at 1599638617.678243, code 00, type 00, val 00
event at 1599638617.829163, code 53, type 03, val 718
event at 1599638617.829163, code 54, type 03, val 393
event at 1599638617.829163, code 00, type 03, val 718
event at 1599638617.829163, code 01, type 03, val 393
event at 1599638617.829163, code 00, type 00, val 00
event at 1599638617.846032, code 57, type 03, val -1
event at 1599638617.846032, code 330, type 01, val 00
event at 1599638617.846032, code 00, type 00, val 00
event at 1599638618.582880, code 57, type 03, val 36
event at 1599638618.582880, code 53, type 03, val 44
event at 1599638618.582880, code 54, type 03, val 412
event at 1599638618.582880, code 330, type 01, val 01
event at 1599638618.582880, code 00, type 03, val 44
event at 1599638618.582880, code 01, type 03, val 412
event at 1599638618.582880, code 00, type 00, val 00
touch
1
event at 1599638618.700365, code 53, type 03, val 45
event at 1599638618.700365, code 54, type 03, val 415
event at 1599638618.700365, code 00, type 03, val 45
event at 1599638618.700365, code 01, type 03, val 415
event at 1599638618.700365, code 00, type 00, val 00
event at 1599638618.717351, code 57, type 03, val -1
event at 1599638618.717351, code 330, type 01, val 00
event at 1599638618.717351, code 00, type 00, val 00
event at 1599638619.202861, code 57, type 03, val 37
event at 1599638619.202861, code 53, type 03, val 451
event at 1599638619.202861, code 54, type 03, val 293
event at 1599638619.202861, code 330, type 01, val 01
event at 1599638619.202861, code 00, type 03, val 451
event at 1599638619.202861, code 01, type 03, val 293
event at 1599638619.202861, code 00, type 00, val 00
event at 1599638619.270226, code 53, type 03, val 450
event at 1599638619.270226, code 00, type 03, val 450
event at 1599638619.270226, code 00, type 00, val 00
event at 1599638619.337466, code 53, type 03, val 448
event at 1599638619.337466, code 54, type 03, val 295
event at 1599638619.337466, code 00, type 03, val 448
event at 1599638619.337466, code 01, type 03, val 295
event at 1599638619.337466, code 00, type 00, val 00
event at 1599638619.354508, code 57, type 03, val -1
event at 1599638619.354508, code 330, type 01, val 00
event at 1599638619.354508, code 00, type 00, val 00
event at 1599638619.672493, code 57, type 03, val 38
event at 1599638619.672493, code 53, type 03, val 686
event at 1599638619.672493, code 54, type 03, val 379
event at 1599638619.672493, code 330, type 01, val 01
event at 1599638619.672493, code 00, type 03, val 686
event at 1599638619.672493, code 01, type 03, val 379
event at 1599638619.672493, code 00, type 00, val 00
touch
1
event at 1599638619.773128, code 54, type 03, val 380
event at 1599638619.773128, code 01, type 03, val 380
event at 1599638619.773128, code 00, type 00, val 00
event at 1599638619.790067, code 57, type 03, val -1
event at 1599638619.790067, code 330, type 01, val 00
event at 1599638619.790067, code 00, type 00, val 00
event at 1599638620.677081, code 57, type 03, val 39
event at 1599638620.677081, code 53, type 03, val 91
event at 1599638620.677081, code 54, type 03, val 426
event at 1599638620.677081, code 330, type 01, val 01
event at 1599638620.677081, code 00, type 03, val 91
event at 1599638620.677081, code 01, type 03, val 426
event at 1599638620.677081, code 00, type 00, val 00
touch
1
event at 1599638620.794425, code 57, type 03, val -1
event at 1599638620.794425, code 330, type 01, val 00
event at 1599638620.794425, code 00, type 00, val 00
event at 1599638621.413972, code 57, type 03, val 40
event at 1599638621.413972, code 53, type 03, val 530
event at 1599638621.413972, code 54, type 03, val 138
event at 1599638621.413972, code 330, type 01, val 01
event at 1599638621.413972, code 00, type 03, val 530
event at 1599638621.413972, code 01, type 03, val 138
event at 1599638621.413972, code 00, type 00, val 00
event at 1599638621.497838, code 53, type 03, val 529
event at 1599638621.497838, code 54, type 03, val 140
event at 1599638621.497838, code 00, type 03, val 529
event at 1599638621.497838, code 01, type 03, val 140
event at 1599638621.497838, code 00, type 00, val 00
event at 1599638621.514697, code 57, type 03, val -1
event at 1599638621.514697, code 330, type 01, val 00
event at 1599638621.514697, code 00, type 00, val 00
2
touch
1
event at 1599638622.100617, code 57, type 03, val 41
event at 1599638622.100617, code 53, type 03, val 363
event at 1599638622.100617, code 54, type 03, val 221
event at 1599638622.100617, code 330, type 01, val 01
event at 1599638622.100617, code 00, type 03, val 363
event at 1599638622.100617, code 01, type 03, val 221
event at 1599638622.100617, code 00, type 00, val 00
event at 1599638622.167871, code 57, type 03, val -1
event at 1599638622.167871, code 330, type 01, val 00
event at 1599638622.167871, code 00, type 00, val 00
event at 1599638622.452487, code 57, type 03, val 42
event at 1599638622.452487, code 53, type 03, val 749
event at 1599638622.452487, code 54, type 03, val 389
event at 1599638622.452487, code 330, type 01, val 01
event at 1599638622.452487, code 00, type 03, val 749
event at 1599638622.452487, code 01, type 03, val 389
event at 1599638622.452487, code 00, type 00, val 00
event at 1599638622.502870, code 53, type 03, val 747
event at 1599638622.502870, code 54, type 03, val 387
event at 1599638622.502870, code 00, type 03, val 747
event at 1599638622.502870, code 01, type 03, val 387
event at 1599638622.502870, code 00, type 00, val 00
event at 1599638622.569988, code 53, type 03, val 739
event at 1599638622.569988, code 54, type 03, val 386
event at 1599638622.569988, code 00, type 03, val 739
event at 1599638622.569988, code 01, type 03, val 386
event at 1599638622.569988, code 00, type 00, val 00
event at 1599638622.586858, code 57, type 03, val -1
event at 1599638622.586858, code 330, type 01, val 00
event at 1599638622.586858, code 00, type 00, val 00
touch
1
event at 1599638623.724834, code 57, type 03, val 43
event at 1599638623.724834, code 53, type 03, val 738
event at 1599638623.724834, code 54, type 03, val 282
event at 1599638623.724834, code 330, type 01, val 01
event at 1599638623.724834, code 00, type 03, val 738
event at 1599638623.724834, code 01, type 03, val 282
event at 1599638623.724834, code 00, type 00, val 00
event at 1599638623.859060, code 53, type 03, val 739
event at 1599638623.859060, code 54, type 03, val 284
event at 1599638623.859060, code 00, type 03, val 739
event at 1599638623.859060, code 01, type 03, val 284
event at 1599638623.859060, code 00, type 00, val 00
event at 1599638623.892809, code 57, type 03, val -1
event at 1599638623.892809, code 330, type 01, val 00
event at 1599638623.892809, code 00, type 00, val 00
event at 1599638624.696408, code 57, type 03, val 44
event at 1599638624.696408, code 53, type 03, val 66
